palabra_damana,frecuencia,candidatas_estadisticas,ejemplo_damana,ejemplo_espanol,espanol_propuesto,categoria,notas
"awantka",1592,"jehova | jesus | dijo | asi | rey","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"israel",24,"israel | jehova | rey | asi | dijo","mʉtʉjka nanantka Jehovága ñingui bʉgui anzhʉnga akawuʉn usaka dzinekuwanshkʉ na ingui nanzhe kawandzina ingui Israel usaka nekuatʉjkawin.","Los israelitas terminaron el tabernáculo un año después de salir de Egipto. Ahora sí tenían un lugar para adorar a Jehová.","","",""
"kʉwarga",24,"sueño | dijo | nabucodonosor | daniel | significaba","Indzui zhʉnguashkʉ, kʉwarga anzhʉn mʉgʉntunawí nʉnka naka anzhinguiandzinaga uguia awantka.","Un día, él tuvo unos sueños un poco raros y se los contó a sus hermanos.","","",""
"zhigawigandzina",24,"animales | jehova | dijo | gente | hizo","Uguia ushi Kunkujshinaga go awantka shka agʉñi anzhʉnga zhigawigandzina guashinguʉn, shkandzinarru asheka nʉname, uguana, ñingui dzingoga, zhamaia ingui Kunkujshinawin dzasheka nʉname,","Resalte que Jehová creó a los seres humanos muy superiores a los animales, con la capacidad de conversar, razonar, inventar cosas, cantar y orar. Ayude a sus hijos a darse cuenta del poder y la sabiduría de Jehová y, sobre todo, del amor que siente por lo que ha creado, incluyendo a cada uno de nosotros.","","",""
"awanarga",23,"dijo | jehova | ahora | asi | he","Tujkua awanarga manzhe kʉnzhʉnga, iwa nʉnai ra mʉtua augashkʉ nʉgʉntuna maka kʉ minzhaneka uka”.","Había oído de ti, pero ahora te conozco de verdad y veo que para ti todo es posible”.","","",""
"dukujshui",23,"rio | jordan | agua | jesus | nilo","Dumatua awega, mega awantka kanastarga sisa awantka kʉn kalusie kuegandzina awa nunkuarga dukujshui Nilo mena.","Para protegerlo, lo puso en una canasta que escondió entre las cañas del río Nilo. Míriam, la hermana del bebé, se quedó cerca para ver lo que pasaba.","","",""
"faraonga",23,"faraon | jehova | moises | pueblo | dijo","Faraónga guaka mʉlamé José nukunaka ushau.","Así que el faraón pidió que le trajeran a José de inmediato.","","",""
"kawandzinawin",23,"familia | jehova | noe | arca | amigos","Memé, Noé nanzhe kawandzinawin nʉnkua dzinekʉnka.","Así, Noé y su familia podrían sobrevivir al Diluvio.","","",""
"kʉzhintujkua",23,"jehova | caso | dios | obedecen | principio","Ima zhinzhomaga naijtushisha uka ia Bibliaga guaka uka shka Jehová kʉzhintujkua awantkandzina ingui kʉzhintujkuñí ukuandzinangua ingui nainguneka uka shindza awega shka Bibliamba zhanandzinanzhe","Esta publicación nos permite ver que la Biblia es un libro que nos habla de personas: las que obedecieron a Jehová y las que desobedecieron. También nos ayuda a aprender lecciones del ejemplo que nos dan esos personajes (Romanos 15:4; 1 Corintios 10:6).","","",""
"urragʉrga",23,"casa | entonces | casas | despues | jesus","Ukuemdzi, Esaú nanzhe urragʉrga naiá, ingui Jacob naiá awantka naiʉn nukuarga.","Después de aquello, Esaú volvió a su casa, y Jacob siguió con su viaje.","","",""
"zhanandzinaga",23,"jehova | gente | jerusalen | ejercito | entonces","Ukuemdzi ingui gega iʉl singʉnandzina kʉngasha awantka. ʉndua shkandzina, caldeos zhanandzinaga, anzhanga awantka camellondzina.","Primero utilizó a unas personas llamadas los sabeos para que le robaran las vacas, los toros y los burros.","","",""
"zhiso",23,"acepta | dios | espiritu | dinero | recibio","“Sara we zhiguanama kʉnʉnka nunkuame zhiso awantka dʉma Kunkujshinanzhe gʉmtshina kʉneka awega [...]","“Por la fe, Sara también recibió poder para concebir descendencia [...]","","",""
"awanshkʉ",22,"despues | dijo | jesus | parte | alguien","Kunkujshinaga Abel kujpinsha awʉnka ima kangʉma zukuega zhitunsha awanshkʉ.","Dios le devolverá la vida cuando convierta la Tierra en un paraíso.","","",""
"discipulundzina",22,"discipulos | jesus | dijo | apostoles | casa","Jesús mimi makuma awantka ʉnkasesʉn nanzhe discípulundzina ciudarga zhama shanʉn dzinaia ukuashkʉ.","Jesús se quedó allí descansando mientras los discípulos fueron a la ciudad a comprar comida.","","",""
"dzuiamba",22,"siguiente | mañana | dia | jesus | dias","Ashʉnka dzuiamba bukuengʉmangui Abrahánga une awantka Isaac ingui moa na iba kʉnekandzina Moriaka.","Al día siguiente, temprano en la mañana, Abrahán se llevó a Isaac y a dos sirvientes hacia Moria.","","",""
"indzui",22,"dia | dijo | filisteos | vez | angel","Indzui zhʉnguashkʉ, Eva naki nukuashkʉ, shkua guma ashe nawin.","Un día, mientras Eva estaba sola, una serpiente habló con ella.","","",""
"kʉnduna",22,"jehova | adorar | jesus | servir | dijo","Memé dzinekuwerru Jehová kʉnduna dzawazhʉnga awerru Jehovánzhe kawa dzineka awʉnka.","Así ellos también podrán adorar a Jehová y ser miembros de su amada familia.","","",""
"kʉnzhʉnga",22,"jehova | dijo | dios | reino | habian","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi","Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","","",""
"mʉnʉnka",22,"eres | jehova | dijo | dios | hijo","Raga iba kʉnekuga ramba we zhigunga, ma nanzhe mena mʉnʉnka.","Si me acostara contigo, estaría pecando contra Dios”.","","",""
"nukuamba",22,"jehova | dijo | dios | arrodillo | batalla","Kʉngui israelitandzina dzinaiumpana kangʉma janantkamba, inkuijtena dzira ijtena dzira nukuamba dzanzhagi kaunakezhi.","Entonces hizo que soplara un viento fuerte toda la noche. El mar se dividió en dos, y en el medio se formó un camino.","","",""
"zhiguazhi",22,"jehova | estamos | contento | contentos | dios","Angunekʉnegi naimsi ʉndua tshijshindza awega nʉnai kʉnzhʉnga Kunkujshinanzhe bunguingʉmamba nuka. Memé nʉname zen zhiguazhi nukurra ima zhinzhoma maijtushisha awega: Shindza ushi shka Bibliamba zhanandzinanzhe.","Nuestro deseo sincero es ayudar a otros a aprender las valiosas verdades que se hallan en la Palabra de Dios. Con ese propósito, nos alegra presentarles este libro: Lecciones que aprendo de la Biblia.","","",""
"awau",21,"dijo | asi | vayan | dios | discipulos","Maiguin anguashisha awau ñingui zukuega kʉnʉnka ima zhinzhomaga.","Permítannos contarles algunos detalles sobre esta publicación.","","",""
"kʉzhia",21,"dijeron | jesus | jehova | eres | mundo","Isaac ingui Rebecaga ijkakandunún nanantka Esaúga Jacob guaga awega, memé nunkuame kʉzhia: “Naia ushi kaiarru makuma ushi Labán nugeku, manzhabunzhe anzhatu kuʉieku, Esaú kumatunantka nuka inzhagi awanshkʉ”.","Isaac y Rebeca querían proteger a Jacob, así que le dijeron: “Vete y quédate con tu tío Labán, el hermano de tu madre, hasta que Esaú se calme”.","","",""
"maka",21,"dijo | jehova | sabes | crees | israelitas","¿Maka uguana Jehóvaga anduna awantka neka ukua Jacob?","¿Crees que a Jehová le gustó lo que hizo Jacob?","","",""
"nekʉnka",21,"jehova | rey | gente | hacer | importante","Gogumantka nuka iba nanún nʉnka kintujkua awega, ganekʉnegi nanuemdzi guaka nekʉnka kʉskʉnangui zhanekantka ingui ukuemdzi zhaneka awantka.","Se ha hecho un esfuerzo especial para presentar esos relatos de manera clara, sencilla y, siempre que ha sido posible, en el orden en que sucedieron.","","",""
"sacerdote",21,"sacerdote | sumo | aaron | jehova | jerusalen","Jehovága anguga awantka Aarón nanzhe gʉmtshinawin sacerdote dzinanega ingui iba dzineka awega tabernákulumba.","Solo el sumo sacerdote, Aarón, tenía permiso para entrar en el Santísimo.","","",""
"shimurrua",21,"monte | montaña | luego | olivos | sinai","Kunkujshinaga kaia Abrahán: “Tshui nuguana, guga kaia manzhe shkuame gʉmtshina nakawa ushi widá awega shimurrua Moriaka”.","Dios le dijo a Abrahán: “Por favor, toma a tu único hijo y ofrécelo en sacrificio en una montaña de la tierra de Moria”.","","",""
"ukuzhi",21,"jehova | vamos | entonces | dijo | alabemos","Ukuemdzi Jehovága kaia kʉskʉnangui ángel gontka: “Go ukuzhi shkandzina”.","Entonces, Jehová le dijo al primer ángel: “Vamos a hacer al hombre”.","","",""
"zhigunga",21,"jehova | confiaba | jesus | asi | demostro","“Kʉ nʉnka agʉñi zhigunga zhiunantka nanʉnka, awashkʉ zhiunantka zhigunga jina awuʉnka” (Lucas 18:14).","Así nos haremos famosos”. “Todo el que se engrandece","","",""
"zhiwʉsiga",21,"final | dijo | jehova | jesus | apostoles","Zhiwʉsigá, singungulu makuma inguna buamba. Mema zhanekueki, Balaamga zhakʉjtsha pashka nanantka singungulu kʉnwin.","Al final, la burra se echó en medio del camino.Todas esas veces, Balaam le pegaba a la burra con un palo.","","",""
"anzhʉngandzina",20,"jehova | importantes | jesus | pais | aunque","14 zhinzhomamburru. Kʉskʉnangui kʉnkua angogumantka nuka ima zhinzhomanzhe naimashe uka unguazingʉma ñingui bʉgui anzhʉngandzina shindza aunkurra.","El libro está dividido en 14 secciones. Al principio de cada una, hay un resumen de algunas de las lecciones que podemos aprender.","","",""
"awamka",20,"jehova | ahora | dijo | has | dios","¿Tua awamka nanu iwina zhʉnguashkʉ shkua kumesa?","¿Has visto alguna vez un arcoíris?","","",""
"faraon",20,"faraon | jehova | moises | jose | despues","José gumʉkʉndzinuka nukuashkʉ zhaguasheka faraón, Egipto zhana, kʉwarga anzhʉn awantka nenegangua kintujkuawí nʉnka.","Mientras José estaba en la cárcel, el faraón, rey de Egipto, tuvo unos sueños que nadie podía entender.","","",""
"ijkʉnawin",20,"pueblo | asi | jesus | ciudad | cuenta","Ma gʉmtshina mʉkawa nʉnerru ijkʉnawin asheshisha mawazhʉnga shkua capítulo, ingui nʉnzhú nazhi guaka awega shetamorrandzinangua.","Si usted tiene hijos, puede leer un capítulo con ellos, y juntos comentar las ilustraciones.","","",""
"naiʉn",20,"faraon | jehova | pueblo | ir | agua","Ángelga kaia: “Naiʉn nʉnguashisha ushi”.","Lucharon hasta la mañana siguiente.","","",""
"nekun",20,"jehova | dijo | elias | rey | sequia","Jehová bʉgui anzhʉnga nʉnka, nawiga uguanún nunkurreki, memé nʉname na buiengua azhi nekún nʉnka.","Jehová es grandioso, más de lo que nos imaginamos, él nunca haría nada malo.","","",""
"nekʉn",20,"jehova | despues | agua | asi | diluvio","¿Inzhué nunkuame Kunkujshinaga dziwa bʉgui nekʉn guashisha awantka shkandzina asisa awega?","¿Por qué destruyó Dios el mundo antiguo con un diluvio?","","",""
"amtantka",19,"jehova | queria | sintio | quiso | rey","¿Inzhina amtantka Adán Eva tua ukuashkʉ?","¿Cómo se sintió Adán cuando vio a su esposa?","","",""
"aunguashi",19,"jehova | dijo | cosas | dios | dia","dzunkune dzawazhʉnga nunkuá bimʉna ijkʉna dzinaión. Jehovága guaka: “Ashizha ushi ranzhe gunamandzinaga dzinguneka aunguashi tabernáculo gawega”.","El tabernáculo sería una tienda especial donde los israelitas podrían adorar a Dios.","","",""
"ciudad",19,"ciudad | jehova | envio | alrededor | ayudante","uvas, ukuemdzi imé dzinguaka awantka: “Canaán nʉnka ingui kangʉma zukuega, awashkʉ shkandzina dʉma dzinʉnka, ingui ciudad muro tshujkuegandzina kʉnʉnka”.","Los espías regresaron 40 días después. Trajeron higos, granadas y uvas, y dieron este informe: “Canaán es una buena tierra, pero las personas son fuertes, y las ciudades tienen muros muy altos”.","","",""
"dzinanantka",19,"jehova | gente | tenian | abrahan | adoraba","Zhiganuka Eva. Adán ingui Evawin minshangui kawandzina dzinanantka.","Se llamaba Eva. Adán y Eva fueron la primera familia.","","",""
"kagʉntuna",19,"cuenta | dieron | gente | jehova | enteraron","Ima zhinzhomagangua anguneka awazhʉnga shkandzinaga kagʉntuna awega bunguingʉma zukuega Biblianzhe.","Se puede usar el mismo método para ayudar a un adulto a tener una idea general del mensaje de la Biblia.","","",""
"kaiarru",19,"dijo | jehova | jesus | levantate | vayan","Jehovága Abrahán kaia: “Masha ushi manzhe urraga ingui manzhe kawandzina, kaiarru naia ushi raga mʉjtushisha awʉnga bigu mʉnaiʉnka”.","Luego, Dios le prometió: “Te convertirás en una gran nación. Y por medio de ti haré cosas buenas para la gente de toda la Tierra”.","","",""
"kuaga",19,"vivia | debemos | dios | jehova | ciudad","anduna awantka mema ñingui antshijkawa ukua, memé nunkuame guaka awantka buiengua agʉñi memé asisún nanga kʉ kangʉmamba kuaga dziwa bʉgui neshiwin.","A Jehová le gustó esa ofrenda, y prometió que jamás volvería a destruir lo que hay sobre la Tierra con un diluvio como ese.","","",""
"kukua",19,"jesus | curar | enfermos | curo | dio","Kʉ azhi kinzhanʉnukua skumá ukuashkʉ, Jehovága kukua awantka ingui akawa awantka ñingui agʉñi minsha kʉnunkua guashinguʉn.","Cuando se acabaron las pruebas, Jehová curó a Job y le dio mucho más de lo que había tenido antes.","","",""
"kʉnzhakujtsha",19,"jehova | abrahan | promesas | promesa | dios","Lot ingui Jacobie, nawigangua Jehovága ashizha awazhingurra nainguneka awega, we uguanunkurra ñingui naka guaka awantka kʉnzhakujtsha awʉnka.","Al igual que Abrahán y otros siervos fieles, como Lot y Jacob, podemos pedirle a Jehová con toda libertad que nos ayude, confiando en que él cumplirá todas sus promesas.","","",""
"nanazhʉnga",19,"jehova | rey | puede | asi | gente","“Neneganguazi anzhʉngʉma kua anzhubʉngʉma ra guashinguʉn agʉñi ʉnkʉguanuwerru ranzhe nanún nanazhʉnga” (Mateo 10:37).","hijo o a su hija que a mí no es digno de mí” (Mateo 10:37). regrese”.","","",""
"nuguana",19,"favor | dijo | jehova | oro | dame","Memé nunkuame, Abrahánga Lot kaia: “Umbanguazi moangui kuaún nanazhingurra.Tshui nuguana, bimʉna naiʉnegi mimtú, ingui rangua ʉnduarga naia awʉnga”.","Por eso, Abrahán le dijo a Lot: “Ya no podemos seguir viviendo en el mismo lugar. Por favor, elige a qué lado quieres ir, y yo iré al otro”.","","",""
"nukun",19,"jehova | dijo | contigo | jarro | jerusalen","Jehová mawintki nukún nʉnka ñi Aarónwintki nukún nʉnka, nawiwingua nuka”.","Jehová no solo está contigo y con Aarón, también está con todos nosotros”.","","",""
"ukuame",19,"jehova | asi | david | estaban | habian","Ukuashkʉ Noé nanzhe kawandzinawin memé kakinzhanuñí awantka, ijkʉna arkarga dzimta ukuame.","Pero a Noé y su familia no les pasó nada porque estaban dentro del arca.","","",""
"zhaguashekanzhe",19,"jehova | rey | reino | principes | babilonia","Moisés jina awantka ingui zhaguashekanzhe anzhʉngʉmaie ingui kawa nanazhinga nunkua kʉ naka anduna ukua.","Moisés creció siendo príncipe y podía tener todo lo que quisiera.","","",""
"zhituna",19,"convirtio | baston | dijo | entonces | jehova","Ukuashkʉ Lotnzhe mena Jehová kʉzhintujkuñí awantka, memé nunkuame zhiwuarga ujkua ukuashkʉ nungu zhituna awantka.","“Acuérdense de la esposa de Lot” (Lucas 17:32).","","",""
"dzinguaga",18,"jesus | mataron | acab | ciudad | despues","Memé nunkuame, filisteundzinaga ja ijkakakutshijka nanantka ingui kagʉntuna aunegi ijkakamsi dzinukuantka inzhina dzinguaga awega.","Por eso, los filisteos lo odiaban y querían averiguar cómo matarlo.","","",""
"koshka",18,"ejercito | israelitas | jehova | guerrero | envio","˛ Koshka nanún nantkurra, azhi nʉnka nanún nantkurra ijkʉnushie ñi nanzhe shkandzinaie.","˛ Debemos ser pacíficos, no violentos como el Diablo y sus seguidores.","","",""
"kʉskʉnangui",18,"dios | hombre | primer | principio | dijo","Gogumantka nuka iba nanún nʉnka kintujkua awega, ganekʉnegi nanuemdzi guaka nekʉnka kʉskʉnangui zhanekantka ingui ukuemdzi zhaneka awantka.","Se ha hecho un esfuerzo especial para presentar esos relatos de manera clara, sencilla y, siempre que ha sido posible, en el orden en que sucedieron.","","",""
"mawʉnka",18,"dijo | jesus | contigo | jehova | ve","Mema kʉnzhe kʉnzhiwa ga mawerru, wida mawʉnka”.","Si comes la fruta de ese árbol, morirás”.","","",""
"mʉkʉjsala",18,"ropa | dio | jehova | jesus | buena","Dzimasha awantka urraga zukuega Urka kakʉnunkua ukuemdzi tshijkuan dzinaia awantka ingui urraga mʉkʉjsala gogumantka nukueku.","Habían dejado la buena casa que tenían en Ur para vivir en tiendas.","","",""
"nʉnerru",18,"hijos | usted | jehova | ayudelos | dios","Ma gʉmtshina mʉkawa nʉnerru ijkʉnawin asheshisha mawazhʉnga shkua capítulo, ingui nʉnzhú nazhi guaka awega shetamorrandzinangua.","Si usted tiene hijos, puede leer un capítulo con ellos, y juntos comentar las ilustraciones.","","",""
"shikʉndza",18,"jesus | jehova | enseño | discipulos | preguntas","Anguneka ushi manzhe gʉmtshina tua awega ñi guaka ima zhinzhomaga Bibliamba zhana ingui uguana ñi ñingui zukuega shikʉndza awantka.","Ayude a su hijo a ver la relación que hay entre lo que lee en la Biblia y las lecciones que enseña cada capítulo del libro.","","",""
"awuʉnga",17,"dijo | ir | jehova | tabernaculo | voy","Awuerru, israelitandzina naiʉn guashisha awuʉnga”.","Luego, dejaré salir a los israelitas”.","","",""
"dzune",17,"llevaron | jesus | entonces | apostoles | casa","¡Guaga ukuzhi!”. Antshijpana ukuemdzi dzune kangʉma kuigumantka kʉlʉn zhʉnguarga kʉzhiwasi.","Entonces Jacob envió a José para que viera cómo les iba a sus hermanos.","","",""
"gʉntsha",17,"jehova | sabia | david | rey | asi","Naka gʉntsha nanantka dziwidʉnka Kunkujshina kʉzhindzintujkuñí dzawerru, ukuashkangua ga awantka.","Él sabía que iban a morir si desobedecían a Dios, pero de todas maneras comió.","","",""
"ijkakamsi",17,"querian | jehova | dijo | gente | jesus","Jehovága kameda awantka israelitandzina zhintujkuʉnegi ijkakamsi dzinukuame.","Jehová perdonó a los israelitas que querían obedecerlo.","","",""
"nunkuashkʉ",17,"jehova | jesus | asi | dijo | israelitas","Kʉngui bunkʉjka irsui dzinekantka José nukamba, kʉnzhaneka awantka na kuima nunkuashkʉ kʉwarga anzhʉn ukuai.","José quería saber si todavía lo odiaban, así que les dijo: “Ustedes son espías y vienen a averiguar si nuestro país es débil”. Ellos respondieron: “¡No somos espías!","","",""
"shindza",17,"aprender | jehova | lecciones | biblia | cosas","Shindza ushi shka Bibliamba zhanandzinanzhe","Lecciones que aprendo de la Biblia","","",""
"apostolendzinaga",16,"apostoles | jesus | dijeron | lazaro | preguntaron","Memandzuia ijkakamashai nukuantka Kunkujshinanzhe zhaguasheka ingegua. Shetazhi ukuashkʉ, nanzhe apóstolendzinaga kaia: “Shkandzina margaijkakʉngai dzinuka.","Él quería estar solo con sus apóstoles, pero de todas formas recibió a la gente con cariño.","","",""
"awuʉnka",16,"jehova | asi | baal | dar | dijo","“Kʉ nʉnka agʉñi zhigunga zhiunantka nanʉnka, awashkʉ zhiunantka zhigunga jina awuʉnka” (Lucas 18:14).","Así nos haremos famosos”. “Todo el que se engrandece","","",""
"discipulundzinaga",16,"discipulos | jesus | dijeron | trabajo | enseñar","Juanga andunga nanantka nanzhe discípulundzinaga shkandzina uguanega Kunkujshina zen zhigunshishega. Ukuemdzi kaia awantka zhona shishkandzina zhaguashekandzinanzhe:","Porque Juan quería que sus discípulos supieran que para agradar a Dios tenían que amar a las personas.","","",""
"gunamandzinaga",16,"jehova | pueblo | dios | adorar | casada","Akʉ ñí, nanzhe gunamandzinaga Jehováki kʉndunʉnka dzinguaka awantka nunkuame.","Sí, porque el pueblo había prometido que iba a adorar solo a Jehová.","","",""
"kumatuna",16,"puso | enojo | dijo | furioso | jehova","Jehovága anduna awantka Abelga akawa ukua, ukuashkʉ Caínzhe andunuñí awantka, memé nunkuame Caín bʉgui kumatuna, Jehovága kaia: “Kumamitunantkangui nukuwerru ñingui wandua nʉnka mʉnekʉnka”.","A Jehová le gustó la ofrenda de Abel, pero no le gustó la de Caín. Por eso, Caín se enfadó mucho, y Jehová le dijo: “Si sigues enojado, al final harás algo malo”.","","",""
"kuzhisha",16,"grito | jehova | dijo | pelear | david","Gedeónga kashu guga ukuemdzi shui awantka, zhipi awantka nanzhe jarrón, zhibu zhibu awantka nanzhe antorcha ukuemdzi kuzhisha awantka: “¡Jehovánzhe sherra tshujkuega ingui Gedeónzhe!”.","Gedeón tocó su cuerno, rompió su jarrón, movió su antorcha de un lado a otro y gritó: “¡La espada de Jehová y de Gedeón!”.","","",""
"kʉjso",16,"jesus | seguidores | ciudad | cosecha | dijo","Koshka faraónzhe shkandzina kʉjso dzinaia awantka israelitandzinamba dzibu zou zhʉnguamba.","Los millones de israelitas cruzaron por tierra seca entre las dos paredes de agua hasta el otro lado. El ejército del faraón persiguió a los israelitas a través del fondo seco del mar.","","",""
"nanga",16,"dijo | voy | jehova | respondio | aunque","Jehovága anduna awantka mema ñingui antshijkawa ukua, memé nunkuame guaka awantka buiengua agʉñi memé asisún nanga kʉ kangʉmamba kuaga dziwa bʉgui neshiwin.","A Jehová le gustó esa ofrenda, y prometió que jamás volvería a destruir lo que hay sobre la Tierra con un diluvio como ese.","","",""
"nanuai",16,"dio | rey | apostoles | construir | david","Ukuemdzi, masha awantka ángelndzina ingui shkua sherra tshujkuega ge tua mʉjtakuagamba buiengua agʉñi dzimtún nanuai.","Además, puso ángeles y una espada de fuego a la entrada para que nunca más pudieran regresar.","","",""
"nukua",16,"jehova | abiram | core | cuenta | datan","Iwa nʉgʉntuna we Kunkujshina mugunga, nukua awamka manzhʉngʉma guaga awega”.","Ahora sé que tienes fe en Dios, porque estuviste dispuesto a sacrificar a tu hijo”.","","",""
"zhanekantka",16,"paso | preguntas | arca | despues | relatos","Gogumantka nuka iba nanún nʉnka kintujkua awega, ganekʉnegi nanuemdzi guaka nekʉnka kʉskʉnangui zhanekantka ingui ukuemdzi zhaneka awantka.","Se ha hecho un esfuerzo especial para presentar esos relatos de manera clara, sencilla y, siempre que ha sido posible, en el orden en que sucedieron.","","",""
"anduna",15,"jehova | gusto | quiere | templo | asi","˛ Jehovága anduna shkandzina kuazhá nukuega zen zhigaguazhi ingui nʉnzhú nazhi.","˛ El propósito de Jehová es que los humanos vivan para siempre","","",""
"angelga",15,"angel | dijo | jehova | come | desperto","Kʉgi nakuamba, Sara shkua gʉmtshina kakʉjkuaguma, Jehovánzhe ángelga guaka ukuai kʉnzhaneká.","Al año siguiente, Sara tuvo un bebé, tal como el ángel de Jehová había prometido.","","",""
"guakantka",15,"jehova | dijo | jesus | amar | cosecha","Esaúga gʉgaso: “¡Mema Jehovága guakantka anzhanuntka!","Rechazó algo muy valioso por un simple plato de comida.","","",""
"gunama",15,"pueblo | jehova | juda | años | dios","Raga guaka auga kʉnzhakujtsha ingui nʉkʉzhintujkua dzinekuwerru, ranzhe gunama bʉgui anzhʉngandzina dzinanʉnka”.","Si ellos me obedecen y cumplen mis leyes, serán mi pueblo especial”.","","",""
"ibaneka",15,"esclavos | jesus | contesto | cuenta | dio","Ingui ibaneka Kunkujshinaga guaka uwai","Un esclavo que obedece a Dios","","",""
"koshkandzina",15,"jehova | soldados | dijo | ejercito | ciudad","Kaia nanzhe shka koshkandzina: “Shango awau kʉngui ranzhe carro koshkandzina, zhiwarga inzhu nekuzhi.","Ordenó a sus soldados: “Preparen todos mis carros de guerra, y vamos tras ellos.","","",""
"kʉnzhʉnguashkʉ",15,"años | tenia | jehova | abrahan | isaac","Shezhingo dzukuemdzi dzinaia awantka nawʉrga. Abrahán 75 kʉgi kʉnzhʉnguashkʉ na ingui nanzhe kawandzinawin kinkuma dzawantka kangʉma Jehovága tua awega ugungueku.","Abrahán tenía 75 años cuando él y su familia llegaron a la tierra que Jehová quería que vieran.","","",""
"mikawa",15,"jehova | dijo | alli | dara | salomon","Kʉzhika nanantka: “Minshangui, Jehovága mikawa awantka Rut, Na zumé nʉnka mawin. Iwa mʉkawa nʉnka ingui tuga.","Le decían: “Primero, Jehová te dio a Rut, que se ha portado muy bien contigo.Yahora tienes un nieto.","","",""
"mʉnantkua",15,"dijo | jehova | seran | dios | ustedes","Gumaga kaia: “Widún mʉnantkua. Ga maunkuerru, Kunkujshinaie mʉnantkua”.","La serpiente dijo: “No se van a morir. Si la comen, serán como Dios”.","","",""
"namba",15,"jesus | fe | jehova | ciudad | dio","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"nukuega",15,"jehova | dejar | demas | dijo | saul","˛ Jehovága anduna shkandzina kuazhá nukuega zen zhigaguazhi ingui nʉnzhú nazhi.","˛ El propósito de Jehová es que los humanos vivan para siempre","","",""
"pan",15,"pan | dijo | jehova | viuda | apostoles","Lema gasha, kaiarru ga awau pan zukuegawin. Shezhingomkua mʉnukunkua naiega, mʉkʉjsala ʉnkʉjtemkua kʉjsokua zhiumkua mʉnukunkua.","Jehová les dijo a los israelitas: “Preparen una comida especial.","","",""
"zhaujkukandzina",15,"espias | rahab | canaan | jerico | casa","12 zi zhaujkukandzina Israelitandzina dzinaia uka shimurrua Sinaímbamdzi.","Los israelitas se fueron del monte Sinaí.Viajaron por el desierto de Parán hasta llegar a un lugar que se llamaba Cadés.","","",""
"ñinguamka",15,"bien | jesus | buenos | david | dijo","We ñinguamka Caínga Abel kaia: “Naka ushi rawin kamkeka”.","Más bien, Caín le dijo a Abel: “Ven conmigo al campo”.","","",""
"asheka",14,"jehova | habla | voz | amor | cada","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina","Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","","",""
"aunuka",14,"dios | jehova | ahora | bien | lado","Ima kʉnkuangʉma zhinzhomanzhemba shindzunkurra, ia Jehovága tua aunuka zumé nekʉnukurra kua azhi nekʉnukurra, naka buiengua mashún nantka azhi nʉnkaga uguminsha awega zumé nʉnka.","En esta sección, aprenderemos que Jehová ve de qué lado estamos y que él nunca dejará que el mal venza al bien.","","",""
"dzakinkuma",14,"llegaron | jesus | alli | israelitas | despues","Shimurruaka dzakinkumá ukuashkʉ inginangui nʉnzhu dzingo.","Cuando por fin llegaron a la montaña, hicieron un altar.","","",""
"dzinekʉnka",14,"pecados | dio | familia | inclinarian | jehova","Ñingui tshijshangawʉnka, dzasheka nanʉnka zhintshijshimʉnka ingui Kunkujshinaga kashizha dzinekʉnka.","Podrían inventar cosas, hablar, reír y orar a Dios.","","",""
"dzinʉnka",14,"dijo | jehova | personas | todavia | desobedientes","Ashizha inzhué nunkuame zhintujkuntkandzina dzinʉnka. Evaga guaka guma kʉnzhʉnga, ukuashkʉ Adánga guaka Eva kʉnzhʉnga.","Les preguntó por qué habían sido desobedientes. Eva le echó la culpa a la serpiente, y Adán culpó a Eva.","","",""
"ga",14,"dijo | arbol | arboles | comer | comio","Kaia awantka: “Ga mawazhʉnga kʉ kʉnzhiwandzina, shkuaki gón mʉnanazhʉnga, mema kʉnzhiwa bʉgui anzhʉnga nʉname.","Le dijo: “Puedes comer de todos los árboles menos de uno, que es muy especial.","","",""
