palabra_espanol,frecuencia_en_corpus,ejemplo_espanol,ejemplo_damana,damana_propuesto,notas
"angeles",11,"Antes de hacer las cosas que vemos, él creó muchísimos ángeles.","Ñingui tua ukurrandzina gawuʉn nukuashkʉ minshangui bʉgui ángelndzina go awantka.","",""
"alguien",11,"Estaba tan contento que dijo: “¡Mira lo que Jehová ha creado con una de mis costillas! ¡Por fin hay alguien como yo!”.","Zen zhigunguangui guaka: “¡Tua ushi Jehovága go ingui kʉjkʉla ranzhe manambamdzi! ¡Iwa raie nʉnka awá!”.","",""
"mujeres",11,"Para poder tener cuerpos de hombres y casarse con mujeres.","Terruandzinaie dzinanega ingui menawin andzinguga awega.","",""
"nadie",11,"Durante esos años, Noé avisó a la gente de que iba a venir el Diluvio, pero nadie le hizo caso.","Mema dzingawuʉn nukuashkʉ Noéga uguia awantka shkandzinaga dziwa bʉgui nekʉnka, ukuashkʉ nenegangua tujkuñí awantka.","",""
"dentro",11,"Pero a Noé y su familia no les pasó nada porque estaban dentro del arca.","Ukuashkʉ Noé nanzhe kawandzinawin memé kakinzhanuñí awantka, ijkʉna arkarga dzimta ukuame.","",""
"canaan",11,"El lugar se llamaba Canaán.","Meku zhiganuka nanantka Canaán.","",""
"enseño",11,"Abrahán enseñó a su hijo Isaac a amar a Jehová y a confiar en todas sus promesas.","Abrahánga shikʉndza awantka nanzhe gʉmtshina Isaac Jehová uguanega ingui we uguanega kʉ naka guaka uka.","",""
"conto",11,"Un día, él tuvo unos sueños un poco raros y se los contó a sus hermanos.","Indzui zhʉnguashkʉ, kʉwarga anzhʉn mʉgʉntunawí nʉnka naka anzhinguiandzinaga uguia awantka.","",""
"dejo",11,"Jehová dejó que Satanás pusiera a prueba a Job, ¿sabes por qué?","Jehovága masha awantka ijkʉnushiga Job waga awega, ¿mʉgʉntsha inzhué nunkuame?","",""
"salio",11,"Querían un dios, así que eché el oro al fuego, y salió este becerro”.","Kakanduzhi ingui kunkujshina, memé nunkuame ima oro gemba kʉwasi ukuashkʉ atuna ima kʉnsha ʉndundu”.","",""
"espias",11,"Los 12 espías salieron para Canaán.","12 zi zhaujkukandzina dzinaia awantka Canaán.","",""
"moab",11,"Ahora estaban acampados en las llanuras del país de Moab, al este del río Jordán, y faltaba poco para que entraran en la Tierra Prometida.","Iwarru dzinukua kamke Moab zhiganukuamba, dukujshui Jordán dzui atungʉrna washi, bióngua kakawanekʉn nukún dzimʉta awega Jehovága kangʉma kakawʉnkamba.","",""
"filisteos",11,"Un día, Jehová envió a un ángel para que le dijera a la esposa de Manóah: “Vas a tener un hijo que rescatará a los israelitas de los filisteos.","Indzui zhʉnguashkʉ Jehovága angasha awantka shkua ángel uguia awega ñingui Manóahnzhe menaga: “Shkua gʉmtshina mʉkʉnanʉnka memaga ijkuanka israelitandzina filisteundzinambamdzi.","",""
"babilonia",11,"El rey de Babilonia, Nabucodonosor, iba conquistando una nación tras otra.","Zhaguasheka Babilonia zhana Nabucodonosorga, bʉgui kʉjsʉnkʉngo awantka ciudadndzina.","",""
"galilea",11,"Cuando Jesús tenía más o menos 30 años, fue desde Galilea al río Jordán.","Jesús iwata 30 kʉgi kʉnzhʉnguashkʉ, naia awantka Galileambamdzi Jordánka.","",""
"libro",10,"Este libro pertenece a","Ima zhinzhoma nʉnka","",""
"lucas",10,"Estamos convencidos de que en ella encontramos historia exacta, consejos confiables para la vida y pruebas conmovedoras del amor que siente Jehová por la familia humana (Salmo 119:105; Lucas 1:3; 1 Juan 4:19).","Naigʉntsha namba asheka shka minsha ñingui dzineka ukua, guama zukuega zumé kuaiega ingui Jehovága tushisha awantka bʉgui ugunga shkandzina (Salm 119:105; Lucas 1:3; 1 Juan 4:19).","",""
"podemos",10,"El libro está dividido en 14 secciones. Al principio de cada una, hay un resumen de algunas de las lecciones que podemos aprender.","Ima zhinzhoma kʉnʉnka kʉnkua 14 zhinzhomamburru. Kʉskʉnangui kʉnkua angogumantka nuka ima zhinzhomanzhe naimashe uka unguazingʉma ñingui bʉgui anzhʉngandzina shindza aunkurra.","",""
"sara",10,"Abrahán y Sara obedecen a Dios","Abrahán Sarawin Kunkujshina kʉzhintujkua dzuka","",""
"hebreos",10,"Génesis 11:29-12:9; Hechos 7:2-4; Gálatas 3:6; Hebreos 11:8.","Génesis 11:29-12:9; Hechos 7:2-4; Gálatas 3:6; Hebreos 11:8.","",""
"oyo",10,"Preguntas: Sara oyó a los ángeles hablar con Abrahán, ¿qué dijeron?","Zhishizha: Saraga tujkua awantka ángelndzina Abrahánwin ashaiʉn nukuashkʉ ¿Ñi dzinguakantka?","",""
"estatua",10,"¿Por qué se convirtió la esposa de Lot en una estatua de sal?","¿Inzhué nunkuame Lotnzhe mena nungu zhituna awantka?","",""
